customer_id,customer_name,email,reg_date,card_number,date_of_birth,gender,is_active,start_date,end_date,current_flag
1,Jennifer Madden,zbird@example.com,2021-10-07,efTFMjlmvvPzTKZ,1980-11-18,F,True,2025-07-21,,True
2,Elizabeth Martinez,kimbrittany@example.net,2020-02-09,9CMViVqiDnU4i41,1998-03-25,F,True,2025-07-21,,True
3,Kayla Mayo,tcook@example.org,2020-06-24,jN0dNWk5mtNoQ5X,2006-10-25,M,True,2025-07-21,,True
4,Christopher Oliver,sherry11@example.net,2020-01-17,iqCtjTMkcOmwgh1,2004-12-24,M,True,2025-07-21,,True
5,Ruth Mendoza,kempadam@example.net,2021-10-22,OJAI9d3Njda5oL2,1956-11-12,M,True,2025-07-21,,True
6,Joseph Rhodes,kingkristin@example.net,2023-04-10,yFTbhPIayQXjCkH,1971-05-04,M,True,2025-07-21,,True
7,Laura Ruiz DVM,melissareese@example.net,2022-10-19,qH43hXaiMomkhou,1966-02-21,F,True,2025-07-21,,True
8,Elizabeth Ortega,alvaradomelissa@example.net,2022-04-11,NApowHr5DJMURop,2005-08-19,F,True,2025-07-21,,True
9,Andre Ramirez,robin41@example.org,2023-02-03,IYIi2m9QKDeJjRl,1994-05-26,M,True,2025-07-21,,True
10,Dennis Smith,etran@example.com,2020-03-31,kjMlve4MjsXVLHK,1979-03-08,F,True,2025-07-21,,True
11,Emily Vaughn MD,frederick01@example.com,2021-12-23,Z8IVqEuE5ibHsp1,1955-06-28,F,True,2025-07-21,,True
12,Matthew Cantu,rwells@example.com,2021-04-28,tCgBsbSSRJ5sico,1946-09-05,M,True,2025-07-21,,True
13,Hannah Banks,doris54@example.org,2024-05-24,Cr7uylwSrFLagsU,2006-12-09,F,True,2025-07-21,,True
14,Olivia Navarro,jessica30@example.com,2024-04-24,BguRaKNqet790cd,1990-09-05,F,True,2025-07-21,,True
15,Lisa Bradley,brownchris@example.com,2024-03-21,C9R3uNB1nOF8LtV,1946-10-05,F,True,2025-07-21,,True
16,Jason Jones,renee69@example.com,2023-04-03,wwZJKDTRW9p6caT,1993-06-14,F,True,2025-07-21,,True
17,Amy Gomez,brownjasmine@example.org,2025-07-15,qBcqKMPDoH1waNP,1964-03-10,M,True,2025-07-21,,True
18,Kristopher Cochran,joneskaren@example.net,2022-04-07,3aFL4touBqN1IzX,1956-02-18,M,True,2025-07-21,,True
19,Angela Carter,cjones@example.org,2022-09-10,sd5dXD2D15NrXas,1991-03-20,F,True,2025-07-21,,True
20,Michele Murray,justin42@example.org,2024-10-25,RCRLUawqITF1WQ9,2001-07-09,M,True,2025-07-21,,True
21,Amanda Caldwell,riveradominique@example.net,2023-06-25,7oqWm233BinaG35,1989-02-08,M,True,2025-07-21,,True
22,Ryan Jenkins,oross@example.org,2023-07-07,lkntYbrtPU1lBBN,1961-07-13,F,True,2025-07-21,,True
23,Barbara Caldwell,shawnhernandez@example.net,2024-05-01,2Rly42FjlhFuCwE,1980-06-26,M,True,2025-07-21,,True
24,Patricia Glass,tcoleman@example.com,2023-05-13,9PiBo9zjNiTucrG,1961-02-15,F,True,2025-07-21,,True
25,Tammy Perez,qmartin@example.org,2024-10-30,FemOL6eFmFs4sZM,2003-05-13,M,True,2025-07-21,,True
26,Kelly Hernandez,garciaalexandra@example.com,2024-01-14,DKsrJqd31qGE10v,1956-08-18,M,True,2025-07-21,,True
27,Darin Henderson,mccalljulie@example.com,2025-04-22,5IDZegDgo8qmttZ,1957-07-31,F,True,2025-07-21,,True
28,Tracy Rodriguez,lauragonzalez@example.org,2023-10-26,AqX0gHdlKGQw98g,1960-11-28,F,True,2025-07-21,,True
29,Kelly Moreno,riggssarah@example.com,2023-06-01,BjqrBISE9mdXEgB,2006-01-19,F,True,2025-07-21,,True
30,Holly Nielsen,laurasmith@example.net,2024-07-26,Pexict20ciWVHGN,1947-10-21,F,True,2025-07-21,,True
31,Duane Lyons,perezsteven@example.com,2023-05-26,jfK1LPG6Iaxog5k,1974-10-24,M,True,2025-07-21,,True
32,Brenda Smith,jeffreyhuff@example.org,2022-01-23,cLTcvgsUNcGCk4W,2003-06-19,F,True,2025-07-21,,True
33,Sara Sosa,vmunoz@example.net,2022-08-28,5cstWdl94QmcFHj,1982-10-15,F,True,2025-07-21,,True
